Kabupaten_Kota,Latitude,Longitude,Tahun,Jumlah_Bencana,Kategori_Risiko
BANGGAI,-1.02082829308,122.583642876,2010,0,Rendah
BANGGAI,-1.02082829308,122.583642876,2011,2,Rendah
BANGGAI,-1.02082829308,122.583642876,2012,0,Rendah
BANGGAI,-1.02082829308,122.583642876,2013,1,Rendah
BANGGAI,-1.02082829308,122.583642876,2014,2,Rendah
BANGGAI,-1.02082829308,122.583642876,2015,1,Rendah
BANGGAI,-1.02082829308,122.583642876,2016,0,Rendah
BANGGAI,-1.02082829308,122.583642876,2017,2,Rendah
BANGGAI,-1.02082829308,122.583642876,2018,1,Rendah
BANGGAI,-1.02082829308,122.583642876,2019,6,Sedang
BANGGAI,-1.02082829308,122.583642876,2020,3,Rendah
BANGGAI,-1.02082829308,122.583642876,2021,4,Rendah
BANGGAI,-1.02082829308,122.583642876,2022,21,Tinggi
BANGGAI,-1.02082829308,122.583642876,2023,15,Sedang
BANGGAI,-1.02082829308,122.583642876,2024,10,Sedang
POSO,-1.6808249461,120.521091884,2010,5,Rendah
POSO,-1.6808249461,120.521091884,2011,0,Rendah
POSO,-1.6808249461,120.521091884,2012,0,Rendah
POSO,-1.6808249461,120.521091884,2013,1,Rendah
POSO,-1.6808249461,120.521091884,2014,2,Rendah
POSO,-1.6808249461,120.521091884,2015,1,Rendah
POSO,-1.6808249461,120.521091884,2016,4,Rendah
POSO,-1.6808249461,120.521091884,2017,2,Rendah
POSO,-1.6808249461,120.521091884,2018,1,Rendah
POSO,-1.6808249461,120.521091884,2019,2,Rendah
POSO,-1.6808249461,120.521091884,2020,3,Rendah
POSO,-1.6808249461,120.521091884,2021,25,Tinggi
POSO,-1.6808249461,120.521091884,2022,19,Tinggi
POSO,-1.6808249461,120.521091884,2023,16,Tinggi
POSO,-1.6808249461,120.521091884,2024,10,Sedang
DONGGALA,-0.39587130652,119.835721387,2010,0,Rendah
DONGGALA,-0.39587130652,119.835721387,2011,2,Rendah
DONGGALA,-0.39587130652,119.835721387,2012,0,Rendah
DONGGALA,-0.39587130652,119.835721387,2013,1,Rendah
DONGGALA,-0.39587130652,119.835721387,2014,6,Sedang
DONGGALA,-0.39587130652,119.835721387,2015,3,Rendah
DONGGALA,-0.39587130652,119.835721387,2016,1,Rendah
DONGGALA,-0.39587130652,119.835721387,2017,2,Rendah
DONGGALA,-0.39587130652,119.835721387,2018,1,Rendah
DONGGALA,-0.39587130652,119.835721387,2019,1,Rendah
DONGGALA,-0.39587130652,119.835721387,2020,3,Rendah
DONGGALA,-0.39587130652,119.835721387,2021,9,Sedang
DONGGALA,-0.39587130652,119.835721387,2022,5,Rendah
DONGGALA,-0.39587130652,119.835721387,2023,10,Sedang
DONGGALA,-0.39587130652,119.835721387,2024,12,Sedang
BUOL,0.977976000389,121.372778588,2010,1,Rendah
BUOL,0.977976000389,121.372778588,2011,0,Rendah
BUOL,0.977976000389,121.372778588,2012,1,Rendah
BUOL,0.977976000389,121.372778588,2013,0,Rendah
BUOL,0.977976000389,121.372778588,2014,0,Rendah
BUOL,0.977976000389,121.372778588,2015,1,Rendah
BUOL,0.977976000389,121.372778588,2016,1,Rendah
BUOL,0.977976000389,121.372778588,2017,1,Rendah
BUOL,0.977976000389,121.372778588,2018,1,Rendah
BUOL,0.977976000389,121.372778588,2019,1,Rendah
BUOL,0.977976000389,121.372778588,2020,2,Rendah
BUOL,0.977976000389,121.372778588,2021,11,Sedang
BUOL,0.977976000389,121.372778588,2022,8,Sedang
BUOL,0.977976000389,121.372778588,2023,4,Rendah
BUOL,0.977976000389,121.372778588,2024,6,Sedang
MOROWALI,-2.69385829969,121.913583653,2010,2,Rendah
MOROWALI,-2.69385829969,121.913583653,2011,1,Rendah
MOROWALI,-2.69385829969,121.913583653,2012,1,Rendah
MOROWALI,-2.69385829969,121.913583653,2013,2,Rendah
MOROWALI,-2.69385829969,121.913583653,2014,1,Rendah
MOROWALI,-2.69385829969,121.913583653,2015,2,Rendah
MOROWALI,-2.69385829969,121.913583653,2016,0,Rendah
MOROWALI,-2.69385829969,121.913583653,2017,0,Rendah
MOROWALI,-2.69385829969,121.913583653,2018,0,Rendah
MOROWALI,-2.69385829969,121.913583653,2019,1,Rendah
MOROWALI,-2.69385829969,121.913583653,2020,1,Rendah
MOROWALI,-2.69385829969,121.913583653,2021,5,Rendah
MOROWALI,-2.69385829969,121.913583653,2022,1,Rendah
MOROWALI,-2.69385829969,121.913583653,2023,7,Sedang
MOROWALI,-2.69385829969,121.913583653,2024,8,Sedang
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2010,3,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2011,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2012,1,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2013,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2014,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2015,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2016,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2017,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2018,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2019,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2020,0,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2021,4,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2022,1,Rendah
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2023,7,Sedang
BANGGAI KEPULAUAN,-1.26295010284,123.14990029,2024,3,Rendah
PARIGI MOUTONG,0.401499615474,120.204212718,2010,16,Tinggi
PARIGI MOUTONG,0.401499615474,120.204212718,2011,7,Sedang
PARIGI MOUTONG,0.401499615474,120.204212718,2012,5,Rendah
PARIGI MOUTONG,0.401499615474,120.204212718,2013,7,Sedang
PARIGI MOUTONG,0.401499615474,120.204212718,2014,6,Sedang
PARIGI MOUTONG,0.401499615474,120.204212718,2015,2,Rendah
PARIGI MOUTONG,0.401499615474,120.204212718,2016,0,Rendah
PARIGI MOUTONG,0.401499615474,120.204212718,2017,8,Sedang
PARIGI MOUTONG,0.401499615474,120.204212718,2018,4,Rendah
PARIGI MOUTONG,0.401499615474,120.204212718,2019,2,Rendah
PARIGI MOUTONG,0.401499615474,120.204212718,2020,12,Sedang
PARIGI MOUTONG,0.401499615474,120.204212718,2021,19,Tinggi
PARIGI MOUTONG,0.401499615474,120.204212718,2022,12,Sedang
PARIGI MOUTONG,0.401499615474,120.204212718,2023,9,Sedang
PARIGI MOUTONG,0.401499615474,120.204212718,2024,15,Sedang
SIGI,-1.40848833113,119.97044127,2010,2,Rendah
SIGI,-1.40848833113,119.97044127,2011,2,Rendah
SIGI,-1.40848833113,119.97044127,2012,0,Rendah
SIGI,-1.40848833113,119.97044127,2013,1,Rendah
SIGI,-1.40848833113,119.97044127,2014,5,Rendah
SIGI,-1.40848833113,119.97044127,2015,0,Rendah
SIGI,-1.40848833113,119.97044127,2016,1,Rendah
SIGI,-1.40848833113,119.97044127,2017,3,Rendah
SIGI,-1.40848833113,119.97044127,2018,3,Rendah
SIGI,-1.40848833113,119.97044127,2019,6,Sedang
SIGI,-1.40848833113,119.97044127,2020,13,Sedang
SIGI,-1.40848833113,119.97044127,2021,10,Sedang
SIGI,-1.40848833113,119.97044127,2022,12,Sedang
SIGI,-1.40848833113,119.97044127,2023,9,Sedang
SIGI,-1.40848833113,119.97044127,2024,8,Sedang
BANGGAI LAUT,-1.65253916962,123.520937496,2010,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2011,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2012,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2013,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2014,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2015,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2016,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2017,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2018,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2019,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2020,1,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2021,6,Sedang
BANGGAI LAUT,-1.65253916962,123.520937496,2022,0,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2023,5,Rendah
BANGGAI LAUT,-1.65253916962,123.520937496,2024,3,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2010,0,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2011,0,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2012,0,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2013,0,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2014,0,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2015,1,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2016,1,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2017,0,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2018,0,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2019,2,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2020,6,Sedang
MOROWALI UTARA,-1.94125249589,121.193838517,2021,12,Sedang
MOROWALI UTARA,-1.94125249589,121.193838517,2022,1,Rendah
MOROWALI UTARA,-1.94125249589,121.193838517,2023,10,Sedang
MOROWALI UTARA,-1.94125249589,121.193838517,2024,8,Sedang
KOTA PALU,-0.829802292493,119.909974037,2010,0,Rendah
KOTA PALU,-0.829802292493,119.909974037,2011,0,Rendah
KOTA PALU,-0.829802292493,119.909974037,2012,1,Rendah
KOTA PALU,-0.829802292493,119.909974037,2013,0,Rendah
KOTA PALU,-0.829802292493,119.909974037,2014,3,Rendah
KOTA PALU,-0.829802292493,119.909974037,2015,0,Rendah
KOTA PALU,-0.829802292493,119.909974037,2016,1,Rendah
KOTA PALU,-0.829802292493,119.909974037,2017,0,Rendah
KOTA PALU,-0.829802292493,119.909974037,2018,1,Rendah
KOTA PALU,-0.829802292493,119.909974037,2019,0,Rendah
KOTA PALU,-0.829802292493,119.909974037,2020,0,Rendah
KOTA PALU,-0.829802292493,119.909974037,2021,6,Sedang
KOTA PALU,-0.829802292493,119.909974037,2022,5,Rendah
KOTA PALU,-0.829802292493,119.909974037,2023,7,Sedang
KOTA PALU,-0.829802292493,119.909974037,2024,3,Rendah
